HourOfCall,IncidentGroup,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£)
0,Fire,1,1,1,1,326
0,False Alarm,2,2,2,1,326
17,False Alarm,1,2,2,1,326
22,Fire,1,1,1,1,326
16,Fire,1,1,1,1,326
9,Fire,1,2,2,1,326
8,Special Service,1,1,1,1,326
0,Fire,1,1,1,1,326
15,False Alarm,1,2,2,1,326
7,False Alarm,1,1,1,1,326
9,False Alarm,1,2,2,2,652
0,Special Service,1,1,1,1,326
9,False Alarm,1,1,1,1,326
8,False Alarm,2,2,2,1,326
13,Special Service,1,1,1,1,326
9,False Alarm,1,1,1,1,326
9,False Alarm,1,2,2,1,326
15,Special Service,1,1,1,1,326
20,False Alarm,1,2,2,1,326
10,False Alarm,2,2,2,1,326
19,False Alarm,1,1,1,1,326
8,False Alarm,2,2,2,1,326
13,False Alarm,1,1,1,1,326
1,False Alarm,1,1,1,1,326
2,False Alarm,1,2,2,1,326
17,Special Service,1,1,1,2,652
17,Special Service,2,2,2,1,326
4,False Alarm,1,1,1,1,326
10,False Alarm,1,1,1,1,326
18,False Alarm,1,2,2,1,326
7,False Alarm,1,2,2,1,326
8,False Alarm,1,2,2,1,326
0,False Alarm,1,2,2,1,326
18,False Alarm,3,4,4,2,652
18,Special Service,1,1,1,1,326
10,Special Service,1,1,1,1,326
20,Fire,1,1,1,1,326
15,Special Service,1,1,1,1,326
10,Fire,1,2,2,2,652
13,False Alarm,2,3,3,1,326
19,False Alarm,1,1,1,1,326
3,False Alarm,2,2,2,1,326
9,Special Service,1,1,1,1,326
11,Special Service,2,2,2,1,326
12,False Alarm,1,1,1,1,326
8,False Alarm,1,2,2,1,326
8,False Alarm,1,1,1,1,326
14,Special Service,1,1,1,1,326
23,False Alarm,1,1,1,1,326
22,Fire,1,2,2,1,326
7,False Alarm,1,1,1,1,326
18,False Alarm,1,2,2,1,326
10,Special Service,2,2,2,1,326
16,Fire,1,1,1,1,326
13,Special Service,1,1,1,1,326
12,False Alarm,1,1,1,1,326
17,False Alarm,2,2,2,1,326
0,False Alarm,1,1,1,1,326
16,False Alarm,4,4,4,2,652
18,False Alarm,2,2,2,1,326
11,False Alarm,2,2,2,1,326
15,Special Service,1,1,1,1,326
11,False Alarm,2,2,2,1,326
2,False Alarm,1,1,1,1,326
16,Special Service,1,1,1,2,652
19,Fire,2,2,4,1,326
0,Fire,1,2,2,1,326
8,Fire,1,1,1,1,326
13,False Alarm,1,1,1,1,326
16,Special Service,1,1,1,1,326
19,False Alarm,1,2,2,1,326
14,False Alarm,1,1,1,1,326
17,Special Service,1,1,1,1,326
16,False Alarm,1,1,1,1,326
5,Special Service,1,1,1,1,326
3,Fire,1,2,2,1,326
16,False Alarm,2,2,2,2,652
16,Fire,1,1,1,1,326
10,Special Service,1,1,1,1,326
9,False Alarm,1,1,1,1,326
13,Special Service,1,1,2,1,326
23,False Alarm,1,1,1,1,326
17,False Alarm,2,2,2,1,326
20,False Alarm,1,1,1,1,326
15,Special Service,1,1,1,1,326
11,False Alarm,2,2,2,1,326
18,False Alarm,2,2,2,1,326
16,False Alarm,1,1,1,1,326
11,Special Service,1,1,1,1,326
14,False Alarm,2,2,1,1,326
8,False Alarm,1,1,1,1,326
23,Fire,1,1,1,1,328
15,False Alarm,1,1,1,1,328
0,False Alarm,1,1,1,1,328
22,Fire,1,2,2,2,656
18,Special Service,1,1,1,1,328
15,False Alarm,1,1,1,1,328
3,Fire,2,2,2,1,328
19,Fire,1,1,1,1,328
9,False Alarm,1,1,1,1,328
11,Fire,1,1,1,3,984
13,Special Service,1,1,1,1,328
14,Special Service,1,1,1,1,328
